model,dataset,fit_time-1:5,fit_time-2:5,fit_time-3:5,fit_time-4:5,fit_time-5:5,score_time-1:5,score_time-2:5,score_time-3:5,score_time-4:5,score_time-5:5,test_accuracy-1:5,test_accuracy-2:5,test_accuracy-3:5,test_accuracy-4:5,test_accuracy-5:5,train_accuracy-1:5,train_accuracy-2:5,train_accuracy-3:5,train_accuracy-4:5,train_accuracy-5:5,test_hamming_loss-1:5,test_hamming_loss-2:5,test_hamming_loss-3:5,test_hamming_loss-4:5,test_hamming_loss-5:5,train_hamming_loss-1:5,train_hamming_loss-2:5,train_hamming_loss-3:5,train_hamming_loss-4:5,train_hamming_loss-5:5,test_f1-1:5,test_f1-2:5,test_f1-3:5,test_f1-4:5,test_f1-5:5,train_f1-1:5,train_f1-2:5,train_f1-3:5,train_f1-4:5,train_f1-5:5
baseline_binary_relevance_model,birds,6.678997039794922,6.791996955871582,6.917996644973755,6.5950000286102295,6.471996545791626,0.27700161933898926,0.2760016918182373,0.26200199127197266,0.259000301361084,0.23598098754882812,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,birds,11.214000225067139,11.313997030258179,11.460999011993408,11.372000694274902,10.292726755142212,0.5010006427764893,0.5170018672943115,0.5270025730133057,0.518000602722168,0.577171802520752,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_dependant_binary_relevance,birds,16.578508853912354,16.68751096725464,17.169511079788208,16.864510774612427,16.012614250183105,0.9070007801055908,0.8460006713867188,0.7340004444122314,0.825000524520874,1.0789992809295654,0.5038759689922481,0.49612403100775193,0.5968992248062015,0.5426356589147286,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.04324765401876785,-0.04365565075479396,-0.03671970624235006,-0.03671970624235006,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.2332129858445648,0.21523210191940842,0.1874867796088687,0.247837479073177,0.21235217199007753,1.0,1.0,1.0,1.0,1.0
baseline_classifier_chain,birds,18.76863718032837,18.863637447357178,19.087637901306152,18.77263641357422,14.018153429031372,0.28499913215637207,0.28999972343444824,0.2909979820251465,0.3040010929107666,0.2350001335144043,0.5038759689922481,0.5038759689922481,0.6046511627906976,0.5271317829457365,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.04324765401876785,-0.04324765401876785,-0.037535699714402286,-0.037535699714402286,-0.046511627906976744,-0.0,-0.0,-0.0,-0.0,-0.0,0.24893197181660695,0.20250892436952994,0.17807821693270612,0.19755305190876876,0.19117866126295777,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.25,birds,24.344557523727417,24.331575393676758,25.00757598876953,24.149571895599365,16.543304204940796,1.0160017013549805,0.9759993553161621,1.091515302658081,1.0560061931610107,0.7220451831817627,0.49612403100775193,0.4806201550387597,0.6046511627906976,0.5271317829457365,0.5038759689922481,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.04243166054671563,-0.03549571603427173,-0.037535699714402286,-0.044879640962872294,-0.0,-0.0,-0.0,-0.0,-0.0,0.22242268721397576,0.201014035027189,0.22539872408293463,0.19245286368856163,0.22534896541248628,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,birds,17.16999912261963,17.231998443603516,17.853516340255737,17.22900414466858,11.40853500366211,0.8845150470733643,0.8375139236450195,0.7250001430511475,0.8645114898681641,0.47099924087524414,0.5038759689922481,0.4728682170542636,0.6046511627906976,0.5271317829457365,0.4806201550387597,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04365565075479396,-0.03590371277029784,-0.037535699714402286,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.2202126528442318,0.16819142329978243,0.20988879541511118,0.19245286368856163,0.20427497964512006,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,birds,13.97800064086914,13.85099983215332,14.22799825668335,14.122000217437744,10.095759630203247,0.4890005588531494,0.49699926376342773,0.47600412368774414,0.46700143814086914,0.43033790588378906,0.5038759689922481,0.46511627906976744,0.6124031007751938,0.5348837209302325,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.044879640962872294,-0.03386372909016728,-0.037943696450428395,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.24043944359733835,0.14848012967668514,0.23409509120573868,0.1864339703012472,0.2059918605290656,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,10.714999914169312,10.207001447677612,10.542001962661743,10.181999683380127,8.225483417510986,0.2390000820159912,0.24199867248535156,0.22499823570251465,0.24700045585632324,0.2030024528503418,0.4806201550387597,0.4883720930232558,0.5891472868217055,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.042839657282741736,-0.03671970624235006,-0.03712770297837617,-0.044063647490820076,-0.0,-0.0,-0.0,-0.0,-0.0,0.2330986778899665,0.20792313764910486,0.20355334977760606,0.24041507691393274,0.2189788735160786,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,9.564029932022095,9.802026271820068,10.478541612625122,9.737029552459717,0.2245159149169922,0.20600152015686035,0.23200225830078125,0.18599987030029297,0.24400019645690918,0.0,0.5116279069767442,0.4806201550387597,0.6124031007751938,0.5271317829457365,,1.0,1.0,1.0,1.0,,-0.04365565075479396,-0.04243166054671563,-0.03427172582619339,-0.03712770297837617,,-0.0,-0.0,-0.0,-0.0,,0.24733265558193154,0.21373041901040288,0.23962526637449238,0.1939211225252415,,1.0,1.0,1.0,1.0,
classifier_chain_with_lop-num_generations=10,birds,13.307994365692139,13.317999601364136,13.648000955581665,14.101999521255493,11.399057626724243,0.18600010871887207,0.1920008659362793,0.24299979209899902,0.21000051498413086,0.18496966361999512,0.5038759689922481,0.49612403100775193,0.6124031007751938,0.5271317829457365,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.041207670338637294,-0.03508771929824561,-0.03875968992248062,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.23337094947802753,0.16918814677715213,0.23900427655980222,0.17871952608794714,0.21692488797751955,1.0,1.0,1.0,1.0,1.0
