model,dataset,fit_time-1:10,fit_time-2:10,fit_time-3:10,fit_time-4:10,fit_time-5:10,fit_time-6:10,fit_time-7:10,fit_time-8:10,fit_time-9:10,fit_time-10:10,score_time-1:10,score_time-2:10,score_time-3:10,score_time-4:10,score_time-5:10,score_time-6:10,score_time-7:10,score_time-8:10,score_time-9:10,score_time-10:10,test_accuracy-1:10,test_accuracy-2:10,test_accuracy-3:10,test_accuracy-4:10,test_accuracy-5:10,test_accuracy-6:10,test_accuracy-7:10,test_accuracy-8:10,test_accuracy-9:10,test_accuracy-10:10,train_accuracy-1:10,train_accuracy-2:10,train_accuracy-3:10,train_accuracy-4:10,train_accuracy-5:10,train_accuracy-6:10,train_accuracy-7:10,train_accuracy-8:10,train_accuracy-9:10,train_accuracy-10:10,test_hamming_loss-1:10,test_hamming_loss-2:10,test_hamming_loss-3:10,test_hamming_loss-4:10,test_hamming_loss-5:10,test_hamming_loss-6:10,test_hamming_loss-7:10,test_hamming_loss-8:10,test_hamming_loss-9:10,test_hamming_loss-10:10,train_hamming_loss-1:10,train_hamming_loss-2:10,train_hamming_loss-3:10,train_hamming_loss-4:10,train_hamming_loss-5:10,train_hamming_loss-6:10,train_hamming_loss-7:10,train_hamming_loss-8:10,train_hamming_loss-9:10,train_hamming_loss-10:10,test_f1-1:10,test_f1-2:10,test_f1-3:10,test_f1-4:10,test_f1-5:10,test_f1-6:10,test_f1-7:10,test_f1-8:10,test_f1-9:10,test_f1-10:10,train_f1-1:10,train_f1-2:10,train_f1-3:10,train_f1-4:10,train_f1-5:10,train_f1-6:10,train_f1-7:10,train_f1-8:10,train_f1-9:10,train_f1-10:10
baseline_binary_relevance_model,birds,6.2430338859558105,6.2460339069366455,6.315036296844482,6.2130351066589355,6.07199764251709,6.124997615814209,6.056997776031494,6.090998649597168,5.605030059814453,5.6690285205841064,0.2050008773803711,0.20800161361694336,0.2070002555847168,0.24100279808044434,0.2030014991760254,0.2070002555847168,0.2050018310546875,0.21100449562072754,0.20199370384216309,0.19996857643127441,0.5384615384615384,0.46153846153846156,0.5692307692307692,0.4461538461538462,0.5384615384615384,0.6875,0.5,0.546875,0.5625,0.484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03724696356275304,-0.04939271255060729,-0.03967611336032389,-0.04291497975708502,-0.04129554655870445,-0.027960526315789474,-0.03618421052631579,-0.03536184210526316,-0.039473684210526314,-0.044407894736842105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15263157894736842,0.29107997265892,0.17585993970433328,0.23021014073645654,0.21534138376243642,0.15467836257309941,0.1701187357534107,0.20746209414940067,0.2139955151035484,0.2662635610004031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,birds,11.772510766983032,11.740512609481812,11.81551194190979,11.60851001739502,11.77106785774231,11.846067428588867,11.690067291259766,11.609068870544434,10.74899697303772,10.697021007537842,0.4140024185180664,0.4309999942779541,0.4200022220611572,0.4290015697479248,0.4120011329650879,0.4180033206939697,0.4239993095397949,0.4179987907409668,0.3940238952636719,0.3960072994232178,0.5384615384615384,0.46153846153846156,0.5692307692307692,0.4461538461538462,0.5384615384615384,0.6875,0.5,0.546875,0.5625,0.484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03724696356275304,-0.04939271255060729,-0.03967611336032389,-0.04291497975708502,-0.04129554655870445,-0.027960526315789474,-0.03618421052631579,-0.03536184210526316,-0.039473684210526314,-0.044407894736842105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15263157894736842,0.29107997265892,0.17585993970433328,0.23021014073645654,0.21534138376243642,0.15467836257309941,0.1701187357534107,0.20746209414940067,0.2139955151035484,0.2662635610004031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_dependant_binary_relevance,birds,12.275514125823975,12.100517272949219,12.170518636703491,12.103520154953003,12.386998653411865,12.553998470306396,12.267998456954956,12.22599983215332,11.10151195526123,11.046513080596924,0.39600276947021484,0.41300129890441895,0.39800286293029785,0.3900020122528076,0.3809993267059326,0.3800017833709717,0.37599945068359375,0.39099907875061035,0.3529996871948242,0.35700035095214844,0.5384615384615384,0.49230769230769234,0.5230769230769231,0.4461538461538462,0.5384615384615384,0.703125,0.5,0.546875,0.546875,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03724696356275304,-0.046153846153846156,-0.04048582995951417,-0.0437246963562753,-0.04048582995951417,-0.02549342105263158,-0.03782894736842105,-0.03453947368421053,-0.04111842105263158,-0.046875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.13740119529593214,0.3153987910953855,0.17582113177681044,0.22468671679197993,0.23926482873851293,0.2090643274853801,0.1546955624355005,0.22976785856042825,0.20948423690805962,0.23254289570079045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_classifier_chain,birds,9.388544082641602,9.327540397644043,9.315543413162231,9.296545267105103,9.28600001335144,9.364998579025269,9.241000890731812,9.256000280380249,8.55199909210205,8.418001174926758,0.18900060653686523,0.18600082397460938,0.18199896812438965,0.18000006675720215,0.18399977684020996,0.18700098991394043,0.1849992275238037,0.18599867820739746,0.1680004596710205,0.16402435302734375,0.5538461538461539,0.49230769230769234,0.5230769230769231,0.46153846153846156,0.5384615384615384,0.71875,0.5,0.546875,0.53125,0.453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03562753036437247,-0.04777327935222672,-0.04129554655870445,-0.0437246963562753,-0.04129554655870445,-0.02549342105263158,-0.03700657894736842,-0.03700657894736842,-0.04194078947368421,-0.046052631578947366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18470126364863204,0.29614611394797147,0.14022556390977445,0.21842105263157896,0.21534138376243642,0.2090643274853801,0.1722394220846233,0.19956735730729538,0.18341907400079144,0.21850780798149216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.25,birds,11.65699577331543,11.514997482299805,11.708998441696167,11.517000436782837,11.799028396606445,11.797030210494995,11.60502815246582,11.584028959274292,10.77902626991272,10.662999868392944,0.3970310688018799,0.40003228187561035,0.403033971786499,0.40203094482421875,0.40400075912475586,0.4010009765625,0.4030015468597412,0.39100098609924316,0.3699939250946045,0.37403130531311035,0.5384615384615384,0.47692307692307695,0.5230769230769231,0.4307692307692308,0.5384615384615384,0.6875,0.5,0.5625,0.53125,0.484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03724696356275304,-0.04777327935222672,-0.04129554655870445,-0.044534412955465584,-0.04048582995951417,-0.027960526315789474,-0.03782894736842105,-0.03536184210526316,-0.04111842105263158,-0.04523026315789474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15263157894736842,0.300250626566416,0.1697577276524645,0.22321713374344954,0.2197273486747171,0.15467836257309941,0.16202156976150786,0.2240034475328593,0.192942883524601,0.2702735860630597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,birds,11.717997789382935,11.744996547698975,11.803999185562134,11.715000629425049,11.754037618637085,11.707037210464478,11.597036838531494,11.566038608551025,11.336671113967896,11.222701787948608,0.43199849128723145,0.4350118637084961,0.40400123596191406,0.3979983329772949,0.40703511238098145,0.4100339412689209,0.39803314208984375,0.4200310707092285,0.3840932846069336,0.3880622386932373,0.5384615384615384,0.46153846153846156,0.5538461538461539,0.4307692307692308,0.5230769230769231,0.703125,0.515625,0.5625,0.546875,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03724696356275304,-0.04939271255060729,-0.04048582995951417,-0.0437246963562753,-0.042105263157894736,-0.02631578947368421,-0.03618421052631579,-0.03453947368421053,-0.04111842105263158,-0.04523026315789474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.153122316280211,0.2781157439052176,0.14022556390977445,0.24880952380952379,0.1995519100782259,0.19502923976608186,0.17173816895179125,0.23346828609986506,0.20697797124389922,0.22080200501253133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,birds,11.93099856376648,11.919996500015259,11.98099946975708,11.820999145507812,11.551997423171997,11.63599681854248,11.546000003814697,11.521998643875122,10.70099925994873,10.546998500823975,0.3940000534057617,0.40200114250183105,0.40200257301330566,0.4030013084411621,0.40900111198425293,0.39600300788879395,0.3950011730194092,0.40000200271606445,0.3729996681213379,0.37000060081481934,0.5538461538461539,0.4461538461538462,0.5384615384615384,0.4307692307692308,0.5384615384615384,0.6875,0.5,0.546875,0.53125,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.034817813765182185,-0.04939271255060729,-0.04291497975708502,-0.046153846153846156,-0.04129554655870445,-0.027960526315789474,-0.038651315789473686,-0.03618421052631579,-0.04111842105263158,-0.046875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22355889724310776,0.2827456773726623,0.12361673414304991,0.19649122807017544,0.21534138376243642,0.17719298245614035,0.15199650710486623,0.22099961442066704,0.21311612364243948,0.21027568922305762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,9.529999256134033,9.572000741958618,9.596998453140259,9.499001026153564,9.422001123428345,9.49899673461914,9.446000576019287,9.365998029708862,8.867069482803345,8.775059938430786,0.18399786949157715,0.17999887466430664,0.18400216102600098,0.18899822235107422,0.17899775505065918,0.18600130081176758,0.18000030517578125,0.18200039863586426,0.1679701805114746,0.16597652435302734,0.5538461538461539,0.47692307692307695,0.5384615384615384,0.4307692307692308,0.5538461538461539,0.71875,0.5,0.5625,0.546875,0.453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03643724696356275,-0.04777327935222672,-0.042105263157894736,-0.0437246963562753,-0.04129554655870445,-0.027138157894736843,-0.03700657894736842,-0.03618421052631579,-0.04194078947368421,-0.047697368421052634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2285030758714969,0.2861412631112022,0.16040100250626566,0.19312683883622098,0.22787271208323837,0.17222222222222222,0.1647206250921421,0.22162618083670718,0.19557226399331662,0.17623078675710255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,9.567999124526978,9.509995937347412,9.506987571716309,9.364999532699585,9.40999698638916,9.622997283935547,9.479997634887695,9.458999156951904,8.984017610549927,8.876016616821289,0.18000078201293945,0.19099879264831543,0.19900178909301758,0.18899822235107422,0.18400168418884277,0.23000001907348633,0.1849992275238037,0.18899822235107422,0.1660304069519043,0.1660289764404297,0.5384615384615384,0.47692307692307695,0.5538461538461539,0.4153846153846154,0.5384615384615384,0.6875,0.5,0.546875,0.53125,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03562753036437247,-0.048582995951417005,-0.04291497975708502,-0.044534412955465584,-0.04129554655870445,-0.027138157894736843,-0.03782894736842105,-0.03453947368421053,-0.04111842105263158,-0.04523026315789474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18470126364863204,0.2981283854798286,0.11857934309457854,0.17205513784461152,0.21534138376243642,0.20730994152046783,0.1572018280996609,0.2400472334682861,0.2060985797827903,0.18731619257935045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_lop-num_generations=10,birds,12.867991209030151,12.729999780654907,12.785999059677124,12.636001110076904,12.58103084564209,12.547024250030518,12.471030950546265,12.501031875610352,11.810199737548828,11.699229955673218,0.19099998474121094,0.18199992179870605,0.18199920654296875,0.17699885368347168,0.18800044059753418,0.18700003623962402,0.18700218200683594,0.20000267028808594,0.16500091552734375,0.1679997444152832,0.5384615384615384,0.4461538461538462,0.5538461538461539,0.46153846153846156,0.5384615384615384,0.703125,0.5,0.5625,0.5625,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.038866396761133605,-0.05020242914979757,-0.04048582995951417,-0.04291497975708502,-0.042105263157894736,-0.027960526315789474,-0.03782894736842105,-0.03536184210526316,-0.04111842105263158,-0.046052631578947366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.12887989203778677,0.2659603554340396,0.14663173084225717,0.23339117023327552,0.21534138376243642,0.158187134502924,0.1546955624355005,0.2365347758536613,0.22213868003341689,0.26982359745517637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
