model,dataset,fit_time-1:5,fit_time-2:5,fit_time-3:5,fit_time-4:5,fit_time-5:5,score_time-1:5,score_time-2:5,score_time-3:5,score_time-4:5,score_time-5:5,test_accuracy-1:5,test_accuracy-2:5,test_accuracy-3:5,test_accuracy-4:5,test_accuracy-5:5,train_accuracy-1:5,train_accuracy-2:5,train_accuracy-3:5,train_accuracy-4:5,train_accuracy-5:5,test_hamming_loss-1:5,test_hamming_loss-2:5,test_hamming_loss-3:5,test_hamming_loss-4:5,test_hamming_loss-5:5,train_hamming_loss-1:5,train_hamming_loss-2:5,train_hamming_loss-3:5,train_hamming_loss-4:5,train_hamming_loss-5:5,test_f1-1:5,test_f1-2:5,test_f1-3:5,test_f1-4:5,test_f1-5:5,train_f1-1:5,train_f1-2:5,train_f1-3:5,train_f1-4:5,train_f1-5:5
baseline_binary_relevance_model,birds,5.6999993324279785,5.748999357223511,5.82899808883667,5.7529988288879395,4.737027883529663,0.2500002384185791,0.23999977111816406,0.23900198936462402,0.23900222778320312,0.22697138786315918,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,birds,10.809997320175171,10.930998802185059,10.975998878479004,10.837998390197754,9.81402850151062,0.4920008182525635,0.49500226974487305,0.4920022487640381,0.4920022487640381,0.502967357635498,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_dependant_binary_relevance,birds,11.103995561599731,11.148997783660889,11.365999221801758,11.186997652053833,9.559163808822632,0.4440009593963623,0.4350013732910156,0.4400026798248291,0.455003023147583,0.3990015983581543,0.5038759689922481,0.49612403100775193,0.5968992248062015,0.5426356589147286,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.04324765401876785,-0.04365565075479396,-0.03671970624235006,-0.03671970624235006,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.2332129858445648,0.21523210191940842,0.1874867796088687,0.247837479073177,0.21235217199007753,1.0,1.0,1.0,1.0,1.0
baseline_classifier_chain,birds,8.434000015258789,8.466999769210815,8.631993055343628,8.493000984191895,7.5730273723602295,0.20399761199951172,0.21000075340270996,0.19900274276733398,0.20299863815307617,0.17500042915344238,0.5038759689922481,0.5038759689922481,0.6046511627906976,0.5271317829457365,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.04324765401876785,-0.04324765401876785,-0.037535699714402286,-0.037535699714402286,-0.046511627906976744,-0.0,-0.0,-0.0,-0.0,-0.0,0.24893197181660695,0.20250892436952994,0.17807821693270612,0.19755305190876876,0.19117866126295777,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.25,birds,10.458997964859009,10.500998735427856,10.679999113082886,10.601998567581177,9.445028305053711,0.45200181007385254,0.44300127029418945,0.4440023899078369,0.45600271224975586,0.4159698486328125,0.49612403100775193,0.4806201550387597,0.6046511627906976,0.5271317829457365,0.5038759689922481,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.04243166054671563,-0.03549571603427173,-0.037535699714402286,-0.044879640962872294,-0.0,-0.0,-0.0,-0.0,-0.0,0.22242268721397576,0.201014035027189,0.22539872408293463,0.19245286368856163,0.22534896541248628,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,birds,10.40299916267395,10.359999656677246,10.790999412536621,10.46999979019165,9.273027420043945,0.44700074195861816,0.4389991760253906,0.4660012722015381,0.4480011463165283,0.4089996814727783,0.5038759689922481,0.4728682170542636,0.6046511627906976,0.5271317829457365,0.4806201550387597,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04365565075479396,-0.03590371277029784,-0.037535699714402286,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.2202126528442318,0.16819142329978243,0.20988879541511118,0.19245286368856163,0.20427497964512006,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,birds,10.43354082107544,10.47253942489624,10.844539880752563,10.52754282951355,9.294070482254028,0.44500017166137695,0.44300031661987305,0.4470021724700928,0.44500064849853516,0.4220004081726074,0.5038759689922481,0.46511627906976744,0.6124031007751938,0.5348837209302325,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.044879640962872294,-0.03386372909016728,-0.037943696450428395,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.24043944359733835,0.14848012967668514,0.23409509120573868,0.1864339703012472,0.2059918605290656,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,8.65199899673462,8.843998193740845,8.898999214172363,8.718998670578003,7.883999347686768,0.1960000991821289,0.19299864768981934,0.1920006275177002,0.19700050354003906,0.17499971389770508,0.4806201550387597,0.4883720930232558,0.5891472868217055,0.5271317829457365,0.4806201550387597,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.042839657282741736,-0.03671970624235006,-0.03712770297837617,-0.04773561811505508,-0.0,-0.0,-0.0,-0.0,-0.0,0.2330986778899665,0.20792313764910486,0.20355334977760606,0.24041507691393274,0.19736742863593568,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,8.710997581481934,8.759000301361084,8.938998460769653,8.794000387191772,7.744028091430664,0.19699931144714355,0.20199966430664062,0.19199919700622559,0.2010023593902588,0.1730051040649414,0.4883720930232558,0.4728682170542636,0.6046511627906976,0.5271317829457365,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04365565075479396,-0.03508771929824561,-0.037535699714402286,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.21928506649868879,0.18381171099164598,0.22499034146631397,0.1965407590121549,0.23450193155991228,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_lop-num_generations=10,birds,11.882998704910278,12.003000259399414,12.085999011993408,11.93299913406372,10.739036560058594,0.19500041007995605,0.1979992389678955,0.1979987621307373,0.20200014114379883,0.17596054077148438,0.49612403100775193,0.4806201550387597,0.6124031007751938,0.5426356589147286,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04243166054671563,-0.0346797225622195,-0.03631170950632395,-0.046511627906976744,-0.0,-0.0,-0.0,-0.0,-0.0,0.19438514701672596,0.20928518430201026,0.21970674477404858,0.19925448312176003,0.2017511451041397,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_lop-num_generations=25,birds,15.143999576568604,15.337996006011963,15.375996828079224,15.185001850128174,13.907254934310913,0.19299960136413574,0.20100045204162598,0.20000290870666504,0.1979992389678955,0.17499780654907227,0.5038759689922481,0.5116279069767442,0.6124031007751938,0.5426356589147286,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.04528763769889841,-0.0416156670746634,-0.03427172582619339,-0.03631170950632395,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2229467349011941,0.2394308881319246,0.22799786026330648,0.20411706693171222,0.21406540544910663,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_lop-num_generations=50,birds,20.412994623184204,20.79099941253662,20.79199767112732,20.608001232147217,18.995999336242676,0.19800090789794922,0.2089993953704834,0.21100115776062012,0.19299960136413574,0.17499995231628418,0.49612403100775193,0.4728682170542636,0.6046511627906976,0.5193798449612403,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.044063647490820076,-0.0346797225622195,-0.03835169318645451,-0.04732762137902897,-0.0,-0.0,-0.0,-0.0,-0.0,0.23835362560407936,0.16743375630099777,0.21356231487810431,0.17552973342447026,0.1962553981610243,1.0,1.0,1.0,1.0,1.0
partial_classifier_chain_with_lop-num_generations=10,birds,13.097996234893799,13.307997465133667,13.367000341415405,13.343001127243042,11.904026985168457,0.19499993324279785,0.22800111770629883,0.2109990119934082,0.21199893951416016,0.18400335311889648,0.5116279069767442,0.49612403100775193,0.6201550387596899,0.5348837209302325,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04202366381068951,-0.03549571603427173,-0.037943696450428395,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.22963621174147492,0.19182743640947975,0.21637817806548457,0.1905278931594721,0.21415276318442808,1.0,1.0,1.0,1.0,1.0
partial_classifier_chain_with_lop-num_generations=25,birds,16.41100025177002,16.40199875831604,16.579995155334473,16.373998880386353,14.993029832839966,0.22300124168395996,0.19800162315368652,0.21000099182128906,0.2070021629333496,0.1829984188079834,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5426356589147286,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.044879640962872294,-0.044063647490820076,-0.03508771929824561,-0.03712770297837617,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.21943830317696014,0.19231517785831964,0.21932672590567326,0.2002184314541294,0.2068837912551611,1.0,1.0,1.0,1.0,1.0
partial_classifier_chain_with_lop-num_generations=50,birds,22.017998933792114,22.16599726676941,22.37599802017212,22.184000253677368,20.01699924468994,0.20300006866455078,0.2090003490447998,0.22300124168395996,0.2089996337890625,0.18103575706481934,0.5193798449612403,0.5038759689922481,0.6124031007751938,0.5426356589147286,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.042839657282741736,-0.03508771929824561,-0.03712770297837617,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.23118015781355164,0.20215194240744644,0.22217079259413355,0.2002184314541294,0.20784072905420417,1.0,1.0,1.0,1.0,1.0
