model,dataset,fit_time-1:10,fit_time-2:10,fit_time-3:10,fit_time-4:10,fit_time-5:10,fit_time-6:10,fit_time-7:10,fit_time-8:10,fit_time-9:10,fit_time-10:10,score_time-1:10,score_time-2:10,score_time-3:10,score_time-4:10,score_time-5:10,score_time-6:10,score_time-7:10,score_time-8:10,score_time-9:10,score_time-10:10,test_accuracy-1:10,test_accuracy-2:10,test_accuracy-3:10,test_accuracy-4:10,test_accuracy-5:10,test_accuracy-6:10,test_accuracy-7:10,test_accuracy-8:10,test_accuracy-9:10,test_accuracy-10:10,train_accuracy-1:10,train_accuracy-2:10,train_accuracy-3:10,train_accuracy-4:10,train_accuracy-5:10,train_accuracy-6:10,train_accuracy-7:10,train_accuracy-8:10,train_accuracy-9:10,train_accuracy-10:10,test_hamming_loss-1:10,test_hamming_loss-2:10,test_hamming_loss-3:10,test_hamming_loss-4:10,test_hamming_loss-5:10,test_hamming_loss-6:10,test_hamming_loss-7:10,test_hamming_loss-8:10,test_hamming_loss-9:10,test_hamming_loss-10:10,train_hamming_loss-1:10,train_hamming_loss-2:10,train_hamming_loss-3:10,train_hamming_loss-4:10,train_hamming_loss-5:10,train_hamming_loss-6:10,train_hamming_loss-7:10,train_hamming_loss-8:10,train_hamming_loss-9:10,train_hamming_loss-10:10,test_f1-1:10,test_f1-2:10,test_f1-3:10,test_f1-4:10,test_f1-5:10,test_f1-6:10,test_f1-7:10,test_f1-8:10,test_f1-9:10,test_f1-10:10,train_f1-1:10,train_f1-2:10,train_f1-3:10,train_f1-4:10,train_f1-5:10,train_f1-6:10,train_f1-7:10,train_f1-8:10,train_f1-9:10,train_f1-10:10
baseline_binary_relevance_model,birds,0.030001163482666,0.0280029773712158,0.0739986896514892,0.0750007629394531,0.0759990215301513,0.0769999027252197,0.0600011348724365,0.0640039443969726,0.0660004615783691,0.0639996528625488,0.783998966217041,0.8359944820404053,0.77699875831604,0.7439992427825928,0.8580019474029541,0.8059992790222168,0.8070018291473389,0.8299961090087891,0.7219979763031006,0.6880004405975342,0.5230769230769231,0.4615384615384615,0.4615384615384615,0.4307692307692308,0.5846153846153846,0.625,0.53125,0.515625,0.515625,0.46875,0.5862068965517241,0.603448275862069,0.6,0.5844827586206897,0.5879310344827586,0.5697074010327022,0.5851979345955249,0.5903614457831325,0.5920826161790017,0.5955249569707401,-0.0453441295546558,-0.0534412955465587,-0.0550607287449392,-0.0493927125506072,-0.0364372469635627,-0.0361842105263157,-0.0411184210526315,-0.0402960526315789,-0.0460526315789473,-0.0559210526315789,-0.0335753176043557,-0.0306715063520871,-0.0326678765880217,-0.0339382940108892,-0.0324863883847549,-0.0337892925083793,-0.0337892925083793,-0.0325210616903705,-0.0328834133526587,-0.0321587100280822,0.2433071314650262,0.3721335767775395,0.2018929900508848,0.2911576326437008,0.4379072681704261,0.2164578111946532,0.2056980687011646,0.2855804670046156,0.3184625650814341,0.2857125330809541,0.4993759091661556,0.5190577411819625,0.5181402426186894,0.5030517809854562,0.4944794254660893,0.5119288617002604,0.501601489379822,0.5189082467687748,0.4966347301847478,0.5135284762345793
baseline_binary_relevance_model,emotions,0.01300048828125,0.007000923156738281,0.006000041961669922,0.00599980354309082,0.006001710891723633,0.0070002079010009766,0.009000062942504883,0.004990339279174805,0.005998134613037109,0.005999088287353516,0.08999943733215332,0.0839991569519043,0.069000244140625,0.07199883460998535,0.07599949836730957,0.07599902153015137,0.07299923896789551,0.11400055885314941,0.07200098037719727,0.0709991455078125,0.2833333333333333,0.36666666666666664,0.31666666666666665,0.3050847457627119,0.3050847457627119,0.288135593220339,0.1864406779661017,0.288135593220339,0.3050847457627119,0.288135593220339,0.4596622889305816,0.4352720450281426,0.42964352720450283,0.41760299625468167,0.4400749063670412,0.4400749063670412,0.4307116104868914,0.4363295880149813,0.43820224719101125,0.4550561797752809,-0.21388888888888888,-0.19722222222222222,-0.21388888888888888,-0.2175141242937853,-0.2033898305084746,-0.21468926553672316,-0.2598870056497175,-0.20903954802259886,-0.1807909604519774,-0.22598870056497175,-0.13821138211382114,-0.1466541588492808,-0.14759224515322075,-0.14887640449438203,-0.14700374531835206,-0.149812734082397,-0.14950062421972535,-0.14544319600499375,-0.1482521847690387,-0.14544319600499375,0.605163306017196,0.6092890296215104,0.5526577890708325,0.5955026455026454,0.6582568247183308,0.6038391871725205,0.5940954153295351,0.6349919360848323,0.6828674705956653,0.6488371976801426,0.7546216693367254,0.7469230197702137,0.7421442065515008,0.7407933351246321,0.7402328751013602,0.7354498060139544,0.7295663218543421,0.7414981896709092,0.7394332611721057,0.7388858586132523
baseline_binary_relevance_model,scene,0.04300045967102051,0.03800010681152344,0.03200125694274902,0.04400062561035156,0.04999804496765137,0.037000179290771484,0.03800153732299805,0.03999924659729004,0.34799885749816895,0.049999237060546875,2.9880001544952393,2.998000144958496,3.014998197555542,2.8819987773895264,2.6920018196105957,2.611999273300171,2.6569998264312744,2.628999948501587,4.431000709533691,2.927000045776367,0.29045643153526973,0.6639004149377593,0.6970954356846473,0.42323651452282157,0.5477178423236515,0.36929460580912865,0.5684647302904564,0.7208333333333333,0.45,0.6291666666666667,0.7465373961218836,0.7313019390581718,0.7326869806094183,0.7368421052631579,0.7460757156048015,0.7414589104339797,0.7257617728531855,0.7221965851407476,0.7392708814028611,0.7443470235348408,-0.21023513139695713,-0.0954356846473029,-0.06915629322268327,-0.15560165975103735,-0.11825726141078838,-0.16874135546334718,-0.12033195020746888,-0.06111111111111111,-0.14583333333333334,-0.10555555555555556,-0.0636349646044937,-0.0654816866728224,-0.06655894121268083,-0.06486611265004617,-0.060941828254847646,-0.06471221914435211,-0.06840566328100954,-0.0694508537148131,-0.06598984771573604,-0.06137517305029996,0.2203739822787442,0.330649578267061,0.3155409748002341,0.22002442002442005,0.22040369543325014,0.3034455538487797,0.28880454380140985,0.3273201362281822,0.2260671228413164,0.2933112377625248,0.8021234622368874,0.8114454262859091,0.8147622189002005,0.7942878544003561,0.8111865875016934,0.7952138291278493,0.7949992481935308,0.8025299422763409,0.797087560538031,0.8123351278649446
baseline_binary_relevance_model,yeast,0.040001630783081055,0.03400087356567383,0.042998552322387695,0.04600167274475098,0.041999101638793945,0.03800010681152344,0.03400087356567383,0.04000139236450195,0.03900146484375,0.042999982833862305,2.993056535720825,2.9380571842193604,2.950059413909912,2.9860565662384033,2.2260026931762695,2.1990010738372803,2.187999725341797,2.2499990463256836,2.3169965744018555,2.2509994506835938,0.2190082644628099,0.24380165289256198,0.17768595041322313,0.21074380165289255,0.21487603305785125,0.21074380165289255,0.2066115702479339,0.23651452282157676,0.2033195020746888,0.2033195020746888,0.31724137931034485,0.3098850574712644,0.30666666666666664,0.3098850574712644,0.3062068965517241,0.3140229885057471,0.3167816091954023,0.3180147058823529,0.3193933823529412,0.3258272058823529,-0.2154663518299882,-0.1951003541912633,-0.21251475796930341,-0.19451003541912631,-0.19716646989374262,-0.20631641086186542,-0.2166469893742621,-0.21280379371665678,-0.21310017783046828,-0.1947243627741553,-0.14522167487684728,-0.14752052545155994,-0.147192118226601,-0.14873563218390803,-0.14679802955665025,-0.1470935960591133,-0.1444006568144499,-0.14502363445378152,-0.14531906512605042,-0.14636948529411764,0.4293589001727593,0.44773431818598647,0.4053955684499932,0.45202492741794204,0.43529033561663144,0.44438764081224846,0.41709293447577117,0.4088446031164393,0.39656369448618217,0.4160887049739971,0.5548439412408167,0.5497283701011199,0.5457922768282452,0.5499130358231018,0.5492585186353403,0.5524935741747589,0.5551954502215546,0.5552416457431598,0.5515232289228671,0.5516217399921023
baseline_binary_relevance_model,enron,0.09699892997741699,0.0870048999786377,0.10200238227844238,0.1060032844543457,0.11800169944763184,0.09799981117248535,0.10499787330627441,0.0950019359588623,0.11003351211547852,0.08300209045410156,1.2569994926452637,1.563995361328125,1.5019958019256592,1.5609965324401855,1.7549998760223389,1.6490004062652588,1.6060009002685547,1.4069995880126953,1.4840288162231445,1.428997278213501,0.04678362573099415,0.023391812865497075,0.011764705882352941,0.029411764705882353,0.029411764705882353,0.047058823529411764,0.07647058823529412,0.041176470588235294,0.06470588235294118,0.011764705882352941,0.09928151534944481,0.15871979098628347,0.1612271540469974,0.14947780678851175,0.14947780678851175,0.1468668407310705,0.14947780678851175,0.15078328981723238,0.1468668407310705,0.14882506527415143,-0.0386185589760565,-0.07127882599580712,-0.0706992230854606,-0.06703662597114317,-0.06470588235294118,-0.06204217536071032,-0.0637069922308546,-0.07103218645948946,-0.05948945615982242,-0.07236403995560488,-0.048013999975352155,-0.04457562574713777,-0.04415242130154195,-0.0449406374698261,-0.04466968816197842,-0.04537169318685649,-0.04515000738952658,-0.046135277599881765,-0.04558106310655698,-0.044780531060643385,0.05115141115616154,0.04788945308681403,0.04597390953942223,0.08257976602841278,0.08373138006099601,0.062087824107844636,0.08404166569972998,0.046607351818718876,0.10281338530698624,0.04454772347611792,0.19596606578657985,0.17713749526652556,0.1894801134837516,0.18250311470511527,0.19450014980292338,0.19588320155826688,0.18182921190788262,0.17488924484570215,0.18406729303304767,0.18431002324255968
baseline_binary_relevance_model,genbase,0.15799927711486816,0.15399885177612305,0.1550002098083496,0.16899943351745605,0.29599976539611816,0.3059990406036377,0.2630007266998291,0.2720015048980713,0.19800066947937012,0.3299992084503174,4.0920023918151855,3.972001552581787,4.048001050949097,4.071998834609985,6.943547487258911,6.8235485553741455,6.28499960899353,6.207997560501099,4.831000328063965,4.2069995403289795,0.9552238805970149,1.0,0.9090909090909091,0.9242424242424242,0.9696969696969697,0.9545454545454546,0.9393939393939394,0.9848484848484849,0.9090909090909091,0.8787878787878788,0.9714285714285714,0.9714285714285714,0.9714765100671141,0.9714765100671141,0.9731543624161074,0.9681208053691275,0.9714765100671141,0.9697986577181208,0.9731543624161074,0.9664429530201343,-0.002763957987838585,-0.0,-0.005050505050505051,-0.003367003367003367,-0.001122334455667789,-0.0016835016835016834,-0.0028058361391694723,-0.0005611672278338945,-0.004489337822671156,-0.005611672278338945,-0.0012449424214130097,-0.00130718954248366,-0.0013049962714392245,-0.0014292816306239126,-0.0012428535918468805,-0.0014292816306239126,-0.0012428535918468805,-0.0013671389510315685,-0.0011807109122545364,-0.0014914243102162564,0.6054580896686159,0.2222222222222222,0.5067901234567901,0.5858201058201058,0.5802469135802469,0.5185185185185185,0.6172839506172839,0.5185185185185185,0.5329805996472663,0.5198428731762065,0.780626369154845,0.7958255268679928,0.7588244834589062,0.7765933189438811,0.7980532468412752,0.7570871108613518,0.756926120046701,0.7939841491892068,0.7608355725798316,0.7196164493592984
baseline_binary_relevance_model,medical,0.03499794006347656,0.031998634338378906,0.03199911117553711,0.06200122833251953,0.04200100898742676,0.03999948501586914,0.056998252868652344,0.04700016975402832,0.031000375747680664,0.03899860382080078,0.6319987773895264,0.5540013313293457,0.6580009460449219,0.5849967002868652,0.8160011768341064,0.8300001621246338,0.8170003890991211,0.8169984817504883,0.47899866104125977,0.42599940299987793,0.5816326530612245,0.5204081632653061,0.5102040816326531,0.3673469387755102,0.4387755102040816,0.3979591836734694,0.5204081632653061,0.45918367346938777,0.5670103092783505,0.5876288659793815,0.6,0.6034090909090909,0.5954545454545455,0.6113636363636363,0.6034090909090909,0.6261363636363636,0.6068181818181818,0.6045454545454545,0.6095346197502838,0.6106696935300795,-0.01292517006802721,-0.014285714285714285,-0.014512471655328799,-0.019727891156462583,-0.019501133786848073,-0.02108843537414966,-0.015873015873015872,-0.017687074829931974,-0.013058419243986255,-0.013516609392898053,-0.01202020202020202,-0.011843434343434343,-0.01196969696969697,-0.011717171717171718,-0.011843434343434343,-0.011161616161616162,-0.01191919191919192,-0.011742424242424242,-0.011502080968596291,-0.011577752553916005,0.1852865303114059,0.15861743195076528,0.18977961865285806,0.13959241654583457,0.15134468909307022,0.16910136562310474,0.16894325918734765,0.2001385699424915,0.16718343031601895,0.22323346244398878,0.26901348617256005,0.26948962257016473,0.2687466569853042,0.2662465125486857,0.25484894448966006,0.25890807891615336,0.2664077379551512,0.26259632777919917,0.27828175144294814,0.28132383326068394
baseline_stacked_generalization,birds,7.5089991092681885,7.421997785568237,7.3789989948272705,7.46299934387207,8.660999298095703,8.706000089645386,8.752998352050781,8.71999979019165,6.004094123840332,5.542092561721802,1.7930004596710205,1.8859975337982176,1.937000751495361,1.9729998111724851,1.667001247406006,1.65199875831604,1.7240030765533447,1.7559993267059326,1.3680007457733154,1.3659987449645996,0.5230769230769231,0.4461538461538462,0.4615384615384615,0.4307692307692308,0.5846153846153846,0.671875,0.53125,0.53125,0.53125,0.484375,0.5913793103448276,0.603448275862069,0.6017241379310345,0.5982758620689655,0.596551724137931,0.5783132530120482,0.5938037865748709,0.6006884681583476,0.5955249569707401,0.5955249569707401,-0.0461538461538461,-0.0542510121457489,-0.0542510121457489,-0.048582995951417,-0.0404858299595141,-0.0345394736842105,-0.0419407894736842,-0.0386513157894736,-0.0460526315789473,-0.0559210526315789,-0.0330308529945553,-0.0301270417422867,-0.0325771324863883,-0.0333030852994555,-0.032032667876588,-0.0335175287616631,-0.033336352930519,-0.0326116496059425,-0.0321587100280822,-0.0324304737747984,0.2431077694235588,0.3736057887760674,0.2040859725070251,0.2938031352892034,0.3696693657219973,0.2298245614035088,0.2013121037888839,0.2962914550009222,0.3209688307455945,0.295352016404648,0.5063830519041301,0.5258188925637569,0.5219317602264109,0.5151262642955764,0.4910575769066803,0.516954962635129,0.5326218753425717,0.5238711546451486,0.5012806414172291,0.514751555883312
baseline_stacked_generalization,emotions,0.5329976081848145,0.5950000286102295,0.5150008201599121,0.542999267578125,0.5029990673065186,0.5089972019195557,0.5090012550354004,0.5009973049163818,0.5349977016448975,0.5339980125427246,0.13899874687194824,0.14099907875061035,0.13899874687194824,0.12799978256225586,0.14399957656860352,0.14500141143798828,0.13399696350097656,0.13300132751464844,0.12600016593933105,0.1250011920928955,0.26666666666666666,0.38333333333333336,0.3,0.2542372881355932,0.3898305084745763,0.288135593220339,0.22033898305084745,0.23728813559322035,0.288135593220339,0.288135593220339,0.4727954971857411,0.46716697936210133,0.4652908067542214,0.44756554307116103,0.4737827715355805,0.45131086142322097,0.4850187265917603,0.46629213483146065,0.4794007490636704,0.4943820224719101,-0.21944444444444444,-0.19722222222222222,-0.21666666666666667,-0.2175141242937853,-0.18361581920903955,-0.21468926553672316,-0.2598870056497175,-0.211864406779661,-0.211864406779661,-0.22598870056497175,-0.13195747342088807,-0.13477173233270795,-0.1350844277673546,-0.14388264669163545,-0.132334581772784,-0.1451310861423221,-0.1363920099875156,-0.13982521847690388,-0.13701622971285893,-0.13764044943820225,0.594979152951503,0.6074112978524743,0.5693065268065268,0.5959236761276291,0.6972980155139075,0.6084692028985507,0.611237297432851,0.6478132171963525,0.6495985571672304,0.6519269130025147,0.7724290551554365,0.7719890732780748,0.7699809375663677,0.7546145017273065,0.774971087964579,0.7465396134648437,0.7593236109535763,0.7588517335391917,0.7657812110174461,0.7606774947149878
baseline_stacked_generalization,scene,24.78050971031189,24.571511030197144,24.626511335372925,24.76350975036621,21.881513595581055,23.413512229919434,23.50551438331604,23.589998245239258,19.67373776435852,19.554713010787964,5.014511823654175,4.9315102100372314,4.940509557723999,5.056512117385864,5.3009984493255615,5.149030447006226,5.173030376434326,5.137030839920044,4.278975009918213,4.269999265670776,0.2987551867219917,0.6639004149377593,0.7136929460580913,0.45228215767634855,0.5809128630705395,0.45643153526970953,0.5767634854771784,0.7291666666666666,0.4708333333333333,0.6416666666666667,0.7543859649122807,0.7460757156048015,0.7437673130193906,0.7516158818097877,0.7539242843951985,0.7594644506001846,0.7391505078485688,0.7392708814028611,0.7489616982002769,0.7614213197969543,-0.2095435684647303,-0.0975103734439834,-0.06708160442600276,-0.1542185338865837,-0.11894882434301521,-0.1542185338865837,-0.11825726141078838,-0.06180555555555556,-0.14375,-0.10833333333333334,-0.06255771006463527,-0.06386580486303478,-0.06532779316712835,-0.06332717759310558,-0.060557094490612494,-0.06248076331178824,-0.067020621729763,-0.06760498384863867,-0.06529764651592063,-0.05914474696200585,0.2293849561291422,0.3262406318629913,0.3192309159246623,0.22799227799227798,0.21993151327516655,0.32449823481682405,0.3124428387925498,0.32589683274614784,0.22934211258757387,0.29596088077817956,0.8065253970874094,0.819075674604905,0.8197691445163472,0.8032440667796449,0.813397486982168,0.810147400468431,0.8014189510990083,0.8109242001919151,0.8021448368462779,0.8201252883710705
