model,dataset,fit_time-1:5,fit_time-2:5,fit_time-3:5,fit_time-4:5,fit_time-5:5,score_time-1:5,score_time-2:5,score_time-3:5,score_time-4:5,score_time-5:5,test_accuracy-1:5,test_accuracy-2:5,test_accuracy-3:5,test_accuracy-4:5,test_accuracy-5:5,train_accuracy-1:5,train_accuracy-2:5,train_accuracy-3:5,train_accuracy-4:5,train_accuracy-5:5,test_hamming_loss-1:5,test_hamming_loss-2:5,test_hamming_loss-3:5,test_hamming_loss-4:5,test_hamming_loss-5:5,train_hamming_loss-1:5,train_hamming_loss-2:5,train_hamming_loss-3:5,train_hamming_loss-4:5,train_hamming_loss-5:5,test_f1-1:5,test_f1-2:5,test_f1-3:5,test_f1-4:5,test_f1-5:5,train_f1-1:5,train_f1-2:5,train_f1-3:5,train_f1-4:5,train_f1-5:5
baseline_binary_relevance_model,birds,0.026999711990356445,0.026999711990356445,0.026999950408935547,0.02500009536743164,0.026999711990356445,0.6480650901794434,0.6540651321411133,0.6199994087219238,0.6259994506835938,0.5910277366638184,0.4806201550387597,0.4418604651162791,0.5736434108527132,0.5271317829457365,0.4728682170542636,0.5891472868217055,0.5930232558139535,0.5542635658914729,0.5697674418604651,0.5891472868217055,-0.05467156262749898,-0.05222358221134231,-0.037535699714402286,-0.0416156670746634,-0.049775601795185635,-0.03376172990616075,-0.03478172174622603,-0.03488372093023256,-0.0353937168502652,-0.03345573235414117,0.2756453838299163,0.299122976846355,0.3483815657670681,0.2762827584381977,0.2977598941430229,0.46412507493795646,0.489502012134137,0.46618060298370645,0.4586434929355107,0.4734782116151192
baseline_binary_relevance_model,emotions,0.007001161575317383,0.007000446319580078,0.005999565124511719,0.006000995635986328,0.006997823715209961,0.12299680709838867,0.10799908638000488,0.13799762725830078,0.13399887084960938,0.12000036239624023,0.3025210084033613,0.2857142857142857,0.2857142857142857,0.2542372881355932,0.3050847457627119,0.45569620253164556,0.41561181434599154,0.4388185654008439,0.4357894736842105,0.4442105263157895,-0.20588235294117646,-0.2184873949579832,-0.21428571428571427,-0.23163841807909605,-0.2132768361581921,-0.14064697609001406,-0.1490857946554149,-0.14838255977496484,-0.14385964912280702,-0.15017543859649124,0.5810134592797132,0.5726955594461002,0.6265452226044558,0.623519260098614,0.6349387506855996,0.7588063221995323,0.7426428964992825,0.7390805259437117,0.736684420368556,0.7311336379646746
baseline_binary_relevance_model,scene,0.03500056266784668,0.03099966049194336,0.03599905967712402,0.03800320625305176,0.03199934959411621,5.067030191421509,5.063031435012817,5.051030874252319,4.9920289516448975,3.737539529800415,0.46680497925311204,0.5684647302904564,0.5031185031185031,0.6424116424116424,0.5904365904365905,0.7407792207792208,0.7324675324675325,0.7533748701973001,0.7076843198338525,0.745067497403946,-0.15491009681881052,-0.11203319502074689,-0.1334026334026334,-0.09043659043659044,-0.10914760914760915,-0.06398268398268399,-0.06597402597402598,-0.05996884735202492,-0.07329525787469712,-0.06178608515057113,0.37731696323741554,0.3697879799009159,0.3969250257177437,0.41452507640357567,0.35087186995524533,0.8025256798859232,0.8015350662275752,0.807087461419409,0.7872901772934338,0.8031213878585125
baseline_binary_relevance_model,yeast,0.03699970245361328,0.03699827194213867,0.03599953651428223,0.03899788856506348,0.04400229454040527,4.034998416900635,4.0090014934539795,4.081000328063965,4.059999227523804,3.4590275287628174,0.2334710743801653,0.19834710743801653,0.2111801242236025,0.20910973084886128,0.20082815734989648,0.30574236937403,0.30108639420589756,0.3029989658738366,0.3133402275077559,0.3185108583247156,-0.2032172373081464,-0.20380755608028336,-0.19875776397515527,-0.21665187814256137,-0.2070393374741201,-0.14714359618653464,-0.14847387480600102,-0.14769537597872653,-0.14466686364307874,-0.14776924213325454,0.44429012125270145,0.4306262179113531,0.44628985233980656,0.4064001231791253,0.4051336087052936,0.5483336781690921,0.5456867445906671,0.5507497517401377,0.5535985412403999,0.5468834483874544
baseline_binary_relevance_model,enron,0.09899520874023438,0.10399770736694336,0.09399557113647461,0.09699416160583496,0.10899877548217773,2.4219977855682373,2.7085120677948,2.958512306213379,2.672511100769043,2.4015984535217285,0.017595307917888565,0.01466275659824047,0.058823529411764705,0.052941176470588235,0.03529411764705882,0.10433504775900074,0.16531961792799413,0.15051395007342144,0.14904552129221732,0.15418502202643172,-0.05522049466054335,-0.06833397886349804,-0.06215316315205328,-0.06670366259711431,-0.06598224195338513,-0.04739855544618968,-0.04339206743099552,-0.04475937162330646,-0.04574294184467902,-0.04521652397971906,0.046678380754760204,0.0663798796184015,0.07199898045913135,0.059075446241856705,0.07782048939653115,0.17737212266520863,0.1912631317563691,0.19520540986551793,0.1743492949099878,0.18369908124662748
baseline_binary_relevance_model,genbase,0.1430044174194336,0.145005464553833,0.1309986114501953,0.13300108909606934,0.14699864387512207,6.782536268234253,6.74653434753418,6.610542058944702,6.579542875289917,5.348029613494873,0.9774436090225563,0.9172932330827067,0.9621212121212122,0.9621212121212122,0.8863636363636364,0.9678638941398866,0.9754253308128544,0.969811320754717,0.9641509433962264,0.9641509433962264,-0.001670843776106934,-0.006126427179058758,-0.0014029180695847362,-0.0016835016835016834,-0.005050505050505051,-0.0014002660505496045,-0.0010501995379122034,-0.001397624039133473,-0.0015373864430468203,-0.001607267645003494,0.6055267581132385,0.5196110261244361,0.5740740740740741,0.6502057613168725,0.596879601170789,0.7803325801128017,0.7559877754558003,0.7614193842148939,0.7532491504779908,0.6847474551231792
baseline_binary_relevance_model,medical,0.03000187873840332,0.030001163482666016,0.03999948501586914,0.03799843788146973,0.03400063514709473,0.7459976673126221,0.7389981746673584,0.7209992408752441,0.7319989204406738,0.6909952163696289,0.5255102040816326,0.42857142857142855,0.4489795918367347,0.5076923076923077,0.5230769230769231,0.592071611253197,0.5959079283887468,0.6074168797953964,0.5887611749680716,0.6040868454661558,-0.014512471655328799,-0.01712018140589569,-0.019954648526077097,-0.016866096866096865,-0.015954415954415956,-0.012333049161693662,-0.012020460358056265,-0.011821540210287014,-0.012430821626223925,-0.011976727685539946,0.17708628526789358,0.17468921751542216,0.19084618909180315,0.21101609608855984,0.198656151471673,0.2662113870635059,0.25924748059693514,0.24453451220058928,0.25116884949746765,0.2740709649049214
baseline_stacked_generalization,birds,2.529001474380493,2.488999366760254,2.497999668121338,2.4919986724853516,2.2579987049102783,1.2379961013793945,1.2319962978363037,1.2319960594177246,1.2209980487823486,1.1540319919586182,0.4806201550387597,0.4573643410852713,0.5968992248062015,0.5271317829457365,0.4806201550387597,0.5968992248062015,0.5968992248062015,0.562015503875969,0.5794573643410853,0.5891472868217055,-0.05589555283557732,-0.049775601795185635,-0.03712770297837617,-0.0416156670746634,-0.05018359853121175,-0.032639738882088945,-0.03447572419420645,-0.03437372501019992,-0.03478172174622603,-0.03355773153814769,0.277571696070804,0.3457421551243061,0.3416244869145028,0.29508764073192384,0.2713552503194447,0.46992249326602686,0.4931484916817577,0.46768593114152246,0.46582239573610806,0.4596367810462912
baseline_stacked_generalization,emotions,0.48399949073791504,0.48099684715270996,0.5249974727630615,0.518998384475708,0.41502928733825684,0.22699952125549316,0.23099756240844727,0.2200014591217041,0.21700119972229004,0.20196962356567383,0.3277310924369748,0.25210084033613445,0.31932773109243695,0.2542372881355932,0.2966101694915254,0.46835443037974683,0.4704641350210971,0.47257383966244726,0.47157894736842104,0.4673684210526316,-0.2030812324929972,-0.22829131652661064,-0.19887955182072828,-0.23587570621468926,-0.21610169491525424,-0.13677918424753868,-0.1371308016877637,-0.13783403656821377,-0.14,-0.13894736842105262,0.5941826611420014,0.5691337683820555,0.6561726920422573,0.6271500236682457,0.6413440556295095,0.7686153482272567,0.7671548198285052,0.765432711142178,0.7479510202695318,0.7541710592530751
baseline_stacked_generalization,scene,19.634063720703125,19.494063138961792,19.599063634872437,19.613064527511597,15.074312925338745,9.272000312805176,8.800001621246338,9.174001216888428,9.344000816345215,7.303030967712402,0.470954356846473,0.58298755186722,0.5114345114345115,0.6632016632016632,0.6029106029106029,0.7511688311688312,0.7464935064935065,0.7642782969885774,0.72533748701973,0.7559709241952233,-0.15629322268326418,-0.11168741355463348,-0.13444213444213443,-0.08766458766458766,-0.10845460845460846,-0.0625974025974026,-0.06484848484848485,-0.05901696088611977,-0.0712184146763586,-0.06066112841813776,0.3810006336044606,0.37538502865329515,0.39769773366732736,0.4261719055553444,0.3540553970344357,0.8085166443123978,0.808327722538246,0.8122695417518292,0.7972499503512952,0.8071722643884746
