model,dataset,fit_time-1:5,fit_time-2:5,fit_time-3:5,fit_time-4:5,fit_time-5:5,score_time-1:5,score_time-2:5,score_time-3:5,score_time-4:5,score_time-5:5,test_accuracy-1:5,test_accuracy-2:5,test_accuracy-3:5,test_accuracy-4:5,test_accuracy-5:5,train_accuracy-1:5,train_accuracy-2:5,train_accuracy-3:5,train_accuracy-4:5,train_accuracy-5:5,test_hamming_loss-1:5,test_hamming_loss-2:5,test_hamming_loss-3:5,test_hamming_loss-4:5,test_hamming_loss-5:5,train_hamming_loss-1:5,train_hamming_loss-2:5,train_hamming_loss-3:5,train_hamming_loss-4:5,train_hamming_loss-5:5,test_f1-1:5,test_f1-2:5,test_f1-3:5,test_f1-4:5,test_f1-5:5,train_f1-1:5,train_f1-2:5,train_f1-3:5,train_f1-4:5,train_f1-5:5
baseline_binary_relevance_model,birds,5.338998794555664,5.362998723983765,5.432998418807983,5.320997714996338,4.773995876312256,0.2350003719329834,0.23400092124938965,0.23700213432312012,0.26000165939331055,0.22103524208068848,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_binary_relevance_model,emotions,2.1429989337921143,2.1530003547668457,2.1089913845062256,2.1249983310699463,1.6460278034210205,0.07200074195861816,0.08000040054321289,0.0690009593963623,0.07400012016296387,0.06700015068054199,0.33613445378151263,0.2605042016806723,0.31092436974789917,0.2796610169491525,0.3135593220338983,1.0,1.0,1.0,1.0,1.0,-0.17507002801120447,-0.20028011204481794,-0.18487394957983194,-0.17937853107344634,-0.1963276836158192,-0.0,-0.0,-0.0,-0.0,-0.0,0.6072621569041007,0.5623774616936554,0.642245835710986,0.6791051304649357,0.6333395006327375,1.0,1.0,1.0,1.0,1.0
baseline_binary_relevance_model,scene,16.577995538711548,16.114997625350952,15.741994619369507,16.94699501991272,13.716028213500977,0.2350003719329834,0.18799853324890137,0.20000243186950684,0.22200298309326172,0.18197226524353027,0.5352697095435685,0.4896265560165975,0.316008316008316,0.6632016632016632,0.30353430353430355,0.9989610389610389,0.9994805194805195,0.9989615784008308,0.9994807892004154,1.0,-0.09508990318118948,-0.10650069156293222,-0.14033264033264034,-0.0647955647955648,-0.1386001386001386,-0.00017316017316017316,-8.658008658008658e-05,-0.00017307026652821047,-8.653513326410523e-05,-0.0,0.48674743754335625,0.337631036601074,0.38664774051961714,0.4425145772240433,0.2593289422143037,0.9996404075637613,0.9996619337390129,0.9996326344910998,0.9998357963875205,1.0
baseline_binary_relevance_model,yeast,39.43899655342102,39.378998041152954,39.48099946975708,39.603999614715576,33.96102952957153,0.30300235748291016,0.3190014362335205,0.3100008964538574,0.3120002746582031,0.2849702835083008,0.17355371900826447,0.16735537190082644,0.15113871635610765,0.16977225672877846,0.16563146997929606,0.999482669425763,0.999482669425763,1.0,1.0,1.0,-0.19273907910271545,-0.18993506493506493,-0.18796214137829045,-0.1915113871635611,-0.18855368234250222,-3.6952183874066954e-05,-3.6952183874066954e-05,-0.0,-0.0,-0.0,0.368943821266882,0.35561155687668494,0.3580588325928783,0.3698355333302336,0.3586139526769969,0.9997263273125342,0.9999085421620633,1.0,1.0,1.0
baseline_binary_relevance_model,enron,25.312998056411743,23.50800061225891,19.724998474121094,22.22499918937683,19.593028783798218,0.7830033302307129,0.8829996585845947,1.020000696182251,0.8879990577697754,0.7870004177093506,0.05571847507331378,0.03519061583577713,0.07352941176470588,0.06470588235294118,0.01764705882352941,0.8802351212343865,0.8824393828067597,0.9096916299559471,0.9038179148311307,0.9265785609397944,-0.041000387318098824,-0.05162396945720135,-0.04794672586015538,-0.05266370699223086,-0.051775804661487235,-0.004810558274298864,-0.004685788751334341,-0.003449422325658715,-0.0037541905632671154,-0.002826032748732441,0.0691722156621736,0.10235524516253539,0.11066776584584982,0.08719469762527932,0.08367360405388244,0.9333433297848621,0.931849344806673,0.9498099009231616,0.9426523102027248,0.9248626791781541
baseline_binary_relevance_model,genbase,8.208000659942627,8.036999464035034,8.111003398895264,8.093002319335938,5.937998533248901,0.838001012802124,0.8490042686462402,0.8439981937408447,0.8280003070831299,0.7450301647186279,0.9774436090225563,0.924812030075188,0.9772727272727273,0.9848484848484849,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,-0.001113895850737956,-0.00556947925368978,-0.0008417508417508417,-0.0008417508417508417,-0.003367003367003367,-0.0,-0.0,-0.0,-0.0,-0.0,0.6395061728395062,0.5256321654789088,0.6172839506172839,0.7037037037037037,0.6723560177583165,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
baseline_binary_relevance_model,medical,7.72999906539917,7.741998195648193,7.555997133255005,7.697997570037842,6.8960280418396,0.523000955581665,0.52699875831604,0.5200009346008301,0.5290005207061768,0.46599888801574707,0.5612244897959183,0.5051020408163265,0.4642857142857143,0.5487179487179488,0.5897435897435898,1.0,0.9974424552429667,0.9961636828644501,0.9987228607918263,0.9987228607918263,-0.011904761904761904,-0.013492063492063493,-0.015646258503401362,-0.013219373219373219,-0.011851851851851851,-0.0,-8.525149190110827e-05,-8.525149190110827e-05,-2.8380871292748687e-05,-5.676174258549737e-05,0.2201053722944094,0.20890286908440278,0.21255177725448746,0.2716084810124875,0.23455003885102788,0.9555555555555556,0.9768394644297422,0.9323498894165962,0.9554521963824291,0.9326112998244146
baseline_stacked_generalization,birds,10.805996656417847,10.764998197555542,11.01599907875061,10.783000946044922,9.583997011184692,0.49700164794921875,0.5080015659332275,0.6130013465881348,0.5009996891021729,0.4700355529785156,0.5038759689922481,0.4806201550387597,0.6124031007751938,0.5271317829457365,0.49612403100775193,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.04202366381068951,-0.03549571603427173,-0.037535699714402286,-0.04528763769889841,-0.0,-0.0,-0.0,-0.0,-0.0,0.2289389779407928,0.201014035027189,0.22041640662922127,0.19080526643455706,0.22181396163510025,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,emotions,3.712996244430542,3.7529966831207275,3.712996244430542,3.687997341156006,3.0140292644500732,0.13800048828125,0.13300061225891113,0.13500070571899414,0.1380012035369873,0.13099884986877441,0.33613445378151263,0.2605042016806723,0.31092436974789917,0.2796610169491525,0.3135593220338983,1.0,1.0,1.0,1.0,1.0,-0.17507002801120447,-0.20028011204481794,-0.18487394957983194,-0.17937853107344634,-0.1963276836158192,-0.0,-0.0,-0.0,-0.0,-0.0,0.6072621569041007,0.5623774616936554,0.642245835710986,0.6791051304649357,0.6333395006327375,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,scene,28.957999229431152,28.313999891281128,27.811997413635254,29.17400288581848,24.27401089668274,0.4179997444152832,0.40199851989746094,0.4100005626678467,0.4439969062805176,0.3810141086578369,0.5352697095435685,0.4896265560165975,0.316008316008316,0.6632016632016632,0.30353430353430355,0.9989610389610389,0.9994805194805195,0.9989615784008308,0.9994807892004154,1.0,-0.09508990318118948,-0.10650069156293222,-0.14033264033264034,-0.0647955647955648,-0.1386001386001386,-0.00017316017316017316,-8.658008658008658e-05,-0.00017307026652821047,-8.653513326410523e-05,-0.0,0.48674743754335625,0.337631036601074,0.38664774051961714,0.4425145772240433,0.2593289422143037,0.9996404075637613,0.9996619337390129,0.9996326344910998,0.9998357963875205,1.0
baseline_stacked_generalization,yeast,55.04299783706665,55.020997524261475,55.00199794769287,55.51299691200256,49.92555117607117,0.6000006198883057,0.5960006713867188,0.5980010032653809,0.6029999256134033,0.5670313835144043,0.17355371900826447,0.16735537190082644,0.15113871635610765,0.16977225672877846,0.16563146997929606,1.0,1.0,1.0,1.0,1.0,-0.19273907910271545,-0.18993506493506493,-0.1881100266193434,-0.1919550428867199,-0.18855368234250222,-0.0,-0.0,-0.0,-0.0,-0.0,0.368943821266882,0.35561155687668494,0.35796162293277395,0.3695668892475931,0.3586139526769969,1.0,1.0,1.0,1.0,1.0
baseline_stacked_generalization,enron,49.16400074958801,45.90600061416626,38.25800085067749,42.97699856758118,37.92202877998352,1.749999761581421,1.9410009384155273,2.2530007362365723,1.9609994888305664,1.7479698657989502,0.05571847507331378,0.03225806451612903,0.07352941176470588,0.06470588235294118,0.01764705882352941,0.878765613519471,0.8839088905216752,0.9104258443465492,0.9038179148311307,0.9273127753303965,-0.04083439384717535,-0.05140264482930338,-0.04783573806881243,-0.05266370699223086,-0.05144284128745838,-0.004796694993969473,-0.004685788751334341,-0.003449422325658715,-0.0037541905632671154,-0.0027983265453134956,0.06923964489213179,0.10414851535310979,0.11082744443525178,0.08719469762527932,0.09217369934643056,0.9332995548437947,0.9319004942995233,0.9496652099802738,0.9426559163016879,0.9252020795427496
baseline_stacked_generalization,genbase,17.82000231742859,17.53599977493286,17.61500120162964,17.282001495361328,13.497640132904053,1.964000940322876,1.9770023822784424,1.9819977283477783,1.902003288269043,1.6169965267181396,0.9774436090225563,0.924812030075188,0.9772727272727273,0.9848484848484849,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,-0.001113895850737956,-0.00556947925368978,-0.0008417508417508417,-0.0008417508417508417,-0.003367003367003367,-0.0,-0.0,-0.0,-0.0,-0.0,0.6395061728395062,0.5256321654789088,0.6172839506172839,0.7037037037037037,0.6723560177583165,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
