model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
baseline_binary_relevance_model,emotions,0.1787,0.0336,-0.273,0.0145,0.4734,0.0272
baseline_binary_relevance_model,scene,0.5352,0.1397,-0.1254,0.0437,0.2744,0.0451
baseline_binary_relevance_model,yeast,0.2089,0.0192,-0.207,0.0084,0.424,0.0123
baseline_binary_relevance_model,tmc2007_500,0.2663,0.0486,-0.0648,0.0085,0.4271,0.0652
baseline_binary_relevance_model,enron,0.0382,0.0202,-0.0641,0.0095,0.0651,0.0202
baseline_binary_relevance_model,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
baseline_binary_relevance_model,medical,0.4951,0.0728,-0.0162,0.0029,0.1753,0.0234
baseline_stacked_generalization,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
baseline_stacked_generalization,emotions,0.182,0.0355,-0.2724,0.0112,0.4782,0.0249
baseline_stacked_generalization,scene,0.5568,0.1316,-0.1236,0.0423,0.2808,0.0457
baseline_stacked_generalization,yeast,0.2193,0.0186,-0.2123,0.0088,0.4245,0.0078
baseline_stacked_generalization,enron,0.0435,0.0238,-0.0641,0.0099,0.0663,0.02
baseline_stacked_generalization,tmc2007_500,0.275,0.0493,-0.0643,0.0087,0.435,0.0695
baseline_stacked_generalization,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
baseline_stacked_generalization,medical,0.5135,0.0732,-0.0156,0.0027,0.1882,0.0228
baseline_dependant_binary_relevance,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
baseline_dependant_binary_relevance,emotions,0.1753,0.04,-0.2741,0.012,0.4762,0.0277
baseline_dependant_binary_relevance,scene,0.5609,0.1312,-0.1302,0.0448,0.286,0.0458
baseline_dependant_binary_relevance,yeast,0.2027,0.0237,-0.2162,0.0104,0.4202,0.0107
baseline_dependant_binary_relevance,enron,0.04,0.0256,-0.0639,0.0091,0.0676,0.0203
baseline_dependant_binary_relevance,tmc2007_500,0.2684,0.0479,-0.0653,0.0085,0.4353,0.067
baseline_dependant_binary_relevance,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
baseline_dependant_binary_relevance,medical,0.5165,0.062,-0.0163,0.0027,0.1968,0.0269
baseline_classifier_chain,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
baseline_classifier_chain,emotions,0.1821,0.0342,-0.2732,0.0144,0.4766,0.0272
baseline_classifier_chain,scene,0.563,0.1465,-0.1359,0.0509,0.2785,0.042
baseline_classifier_chain,yeast,0.2387,0.0198,-0.2221,0.0085,0.4264,0.0133
baseline_classifier_chain,enron,0.071,0.083,-0.0644,0.011,0.0685,0.0201
baseline_classifier_chain,tmc2007_500,0.2738,0.0477,-0.0656,0.0085,0.4339,0.0655
baseline_classifier_chain,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
baseline_classifier_chain,medical,0.5206,0.0653,-0.0161,0.0027,0.1934,0.0228
stacking_with_f_tests-alpha=0.25,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
stacking_with_f_tests-alpha=0.25,emotions,0.1787,0.0336,-0.273,0.0145,0.4734,0.0272
stacking_with_f_tests-alpha=0.25,scene,0.5352,0.1397,-0.1255,0.0437,0.2744,0.0451
stacking_with_f_tests-alpha=0.25,yeast,0.211,0.018,-0.208,0.0085,0.4239,0.0131
stacking_with_f_tests-alpha=0.25,enron,0.0388,0.0204,-0.064,0.0093,0.0647,0.0203
stacking_with_f_tests-alpha=0.25,tmc2007_500,0.2639,0.0484,-0.0649,0.0085,0.4261,0.0664
stacking_with_f_tests-alpha=0.25,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
stacking_with_f_tests-alpha=0.25,medical,0.49,0.0777,-0.0164,0.0031,0.1779,0.0254
stacking_with_f_tests-alpha=0.50,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
stacking_with_f_tests-alpha=0.50,emotions,0.182,0.0355,-0.273,0.0155,0.4773,0.0233
stacking_with_f_tests-alpha=0.50,scene,0.5684,0.1337,-0.1252,0.0462,0.2817,0.0412
stacking_with_f_tests-alpha=0.50,yeast,0.216,0.0213,-0.2069,0.0087,0.4239,0.0146
stacking_with_f_tests-alpha=0.50,enron,0.0364,0.0241,-0.0649,0.0097,0.0658,0.021
stacking_with_f_tests-alpha=0.50,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
stacking_with_f_tests-alpha=0.50,medical,0.4879,0.069,-0.0168,0.0025,0.189,0.0235
stacking_with_f_tests-alpha=0.50,tmc2007_500,0.2648,0.0481,-0.065,0.0084,0.4268,0.065
stacking_with_f_tests-alpha=0.75,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
stacking_with_f_tests-alpha=0.75,emotions,0.1871,0.0319,-0.2716,0.014,0.4832,0.0198
stacking_with_f_tests-alpha=0.75,scene,0.5638,0.1372,-0.1295,0.0481,0.2824,0.041
