model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.5118,0.0567,-0.0459,0.007,0.2858,0.0719
baseline_binary_relevance_model,emotions,0.2933,0.0424,-0.2136,0.0194,0.6186,0.0359
baseline_binary_relevance_model,scene,0.536,0.1395,-0.125,0.0437,0.2746,0.0449
baseline_binary_relevance_model,yeast,0.2127,0.0174,-0.2058,0.0089,0.4253,0.0183
baseline_binary_relevance_model,enron,0.0382,0.0202,-0.0641,0.0095,0.0651,0.0202
baseline_binary_relevance_model,genbase,0.9425,0.0358,-0.0027,0.0018,0.5208,0.1067
baseline_binary_relevance_model,medical,0.4951,0.0728,-0.0162,0.0029,0.1753,0.0234
baseline_binary_relevance_model,tmc2007_500,0.2663,0.0486,-0.0648,0.0085,0.4271,0.0652
baseline_stacked_generalization,birds,0.5196,0.0676,-0.0461,0.0069,0.2828,0.0591
baseline_stacked_generalization,emotions,0.2916,0.0531,-0.2159,0.0186,0.6234,0.0356
baseline_stacked_generalization,scene,0.5584,0.13,-0.1234,0.042,0.2811,0.0453
baseline_stacked_generalization,yeast,0.2271,0.0206,-0.2099,0.0089,0.4199,0.02
baseline_stacked_generalization,enron,0.0435,0.0238,-0.0641,0.0099,0.0663,0.02
baseline_stacked_generalization,genbase,0.941,0.0362,-0.0028,0.0018,0.5171,0.1038
baseline_stacked_generalization,medical,0.5135,0.0732,-0.0156,0.0027,0.1882,0.0228
baseline_stacked_generalization,tmc2007_500,0.275,0.0493,-0.0643,0.0087,0.435,0.0695
baseline_dependant_binary_relevance,birds,0.498,0.0693,-0.0504,0.0072,0.2632,0.0564
baseline_dependant_binary_relevance,emotions,0.2898,0.0399,-0.2171,0.0177,0.6297,0.0259
baseline_dependant_binary_relevance,scene,0.5609,0.1308,-0.1303,0.045,0.2864,0.0476
baseline_dependant_binary_relevance,yeast,0.2168,0.0237,-0.212,0.0072,0.4221,0.0141
baseline_dependant_binary_relevance,enron,0.04,0.0256,-0.0639,0.0091,0.0676,0.0203
baseline_dependant_binary_relevance,genbase,0.941,0.0362,-0.0035,0.0024,0.5131,0.1012
baseline_dependant_binary_relevance,medical,0.5165,0.062,-0.0163,0.0027,0.1968,0.0269
baseline_dependant_binary_relevance,tmc2007_500,0.2684,0.0479,-0.0653,0.0085,0.4353,0.067
baseline_classifier_chain,birds,0.4933,0.0655,-0.0528,0.0079,0.2702,0.0615
baseline_classifier_chain,emotions,0.3255,0.0342,-0.2116,0.012,0.64,0.0383
baseline_classifier_chain,scene,0.563,0.1465,-0.1359,0.0509,0.2785,0.042
baseline_classifier_chain,yeast,0.2486,0.0204,-0.2159,0.0081,0.4352,0.0119
baseline_classifier_chain,enron,0.071,0.083,-0.0644,0.011,0.0685,0.0201
baseline_classifier_chain,genbase,0.9425,0.0358,-0.0029,0.0018,0.5169,0.1037
baseline_classifier_chain,medical,0.5206,0.0653,-0.0161,0.0027,0.1934,0.0228
baseline_classifier_chain,tmc2007_500,0.2738,0.0477,-0.0656,0.0085,0.4339,0.0655
stacking_with_f_tests-alpha=0.25,birds,0.5118,0.0567,-0.0461,0.0071,0.2817,0.0725
stacking_with_f_tests-alpha=0.25,emotions,0.2933,0.0424,-0.2136,0.0194,0.6186,0.0359
stacking_with_f_tests-alpha=0.25,scene,0.536,0.1395,-0.1252,0.0438,0.2746,0.0449
stacking_with_f_tests-alpha=0.25,yeast,0.2131,0.0166,-0.2074,0.0083,0.4242,0.0179
stacking_with_f_tests-alpha=0.25,enron,0.0388,0.0204,-0.064,0.0093,0.0647,0.0203
stacking_with_f_tests-alpha=0.25,genbase,0.9425,0.0358,-0.0027,0.0018,0.5208,0.1067
stacking_with_f_tests-alpha=0.25,medical,0.49,0.0777,-0.0164,0.0031,0.1779,0.0254
stacking_with_f_tests-alpha=0.25,tmc2007_500,0.2639,0.0484,-0.0649,0.0085,0.4261,0.0664
stacking_with_f_tests-alpha=0.50,birds,0.5025,0.0558,-0.0479,0.0076,0.2723,0.0649
stacking_with_f_tests-alpha=0.50,emotions,0.3,0.0373,-0.2215,0.0234,0.6251,0.0404
stacking_with_f_tests-alpha=0.50,scene,0.5688,0.1335,-0.1252,0.0463,0.2817,0.0411
stacking_with_f_tests-alpha=0.50,yeast,0.223,0.0191,-0.2057,0.0093,0.4261,0.0185
stacking_with_f_tests-alpha=0.50,enron,0.0364,0.0241,-0.0649,0.0097,0.0658,0.021
stacking_with_f_tests-alpha=0.50,genbase,0.9425,0.0358,-0.0028,0.0018,0.5171,0.1038
stacking_with_f_tests-alpha=0.50,medical,0.4879,0.069,-0.0168,0.0025,0.189,0.0235
stacking_with_f_tests-alpha=0.50,tmc2007_500,0.2648,0.0481,-0.065,0.0084,0.4268,0.065
stacking_with_f_tests-alpha=0.75,birds,0.4978,0.0578,-0.0475,0.0072,0.2637,0.0623
stacking_with_f_tests-alpha=0.75,emotions,0.3033,0.0377,-0.2274,0.0202,0.6299,0.0352
stacking_with_f_tests-alpha=0.75,scene,0.5638,0.1376,-0.1298,0.0482,0.2823,0.0411
stacking_with_f_tests-alpha=0.75,yeast,0.2214,0.0236,-0.2093,0.0088,0.4241,0.0145
stacking_with_f_tests-alpha=0.75,enron,0.04,0.0217,-0.0673,0.0083,0.0664,0.0239
stacking_with_f_tests-alpha=0.75,genbase,0.941,0.0362,-0.0032,0.0022,0.5153,0.1027
stacking_with_f_tests-alpha=0.75,medical,0.5053,0.0636,-0.0164,0.003,0.1894,0.0249
stacking_with_f_tests-alpha=0.75,tmc2007_500,0.2704,0.0472,-0.0652,0.0084,0.4315,0.0649
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5041,0.0585,-0.049,0.0066,0.2777,0.0535
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,0.3067,0.0487,-0.2249,0.0255,0.6274,0.0428
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,0.6087,0.1199,-0.1204,0.0425,0.2834,0.0461
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,0.2379,0.0229,-0.2147,0.0087,0.4347,0.0123
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,0.0388,0.0238,-0.0682,0.0081,0.0666,0.023
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,0.941,0.0362,-0.003,0.0019,0.5152,0.1032
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,0.5288,0.0667,-0.0158,0.0029,0.2,0.0229
classifier_chain_with_f_test_ordering-ascending_chain=False,tmc2007_500,0.2785,0.0472,-0.0658,0.0085,0.4335,0.0641
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.4979,0.0613,-0.0506,0.0071,0.2743,0.0544
classifier_chain_with_f_test_ordering-ascending_chain=True,emotions,0.3204,0.043,-0.213,0.0142,0.6311,0.045
classifier_chain_with_f_test_ordering-ascending_chain=True,scene,0.5796,0.1259,-0.1319,0.0446,0.2769,0.0493
classifier_chain_with_f_test_ordering-ascending_chain=True,yeast,0.2474,0.0266,-0.2089,0.009,0.4354,0.0194
classifier_chain_with_f_test_ordering-ascending_chain=True,enron,0.0605,0.0467,-0.0675,0.0098,0.0653,0.0203
classifier_chain_with_f_test_ordering-ascending_chain=True,genbase,0.9425,0.0358,-0.0029,0.0019,0.5158,0.1036
classifier_chain_with_f_test_ordering-ascending_chain=True,medical,0.5175,0.0612,-0.0174,0.0028,0.1799,0.0258
classifier_chain_with_f_test_ordering-ascending_chain=True,tmc2007_500,0.2775,0.0474,-0.0655,0.0083,0.434,0.0661
classifier_chain_with_lop-num_generations=10,birds,0.4979,0.0627,-0.0504,0.0098,0.2794,0.0655
classifier_chain_with_lop-num_generations=10,emotions,0.3237,0.0371,-0.2128,0.0217,0.6394,0.0335
classifier_chain_with_lop-num_generations=10,scene,0.5468,0.1391,-0.1417,0.0505,0.2705,0.0483
classifier_chain_with_lop-num_generations=10,yeast,0.2474,0.0225,-0.2143,0.0094,0.4186,0.0179
classifier_chain_with_lop-num_generations=10,enron,0.0458,0.0259,-0.0662,0.0081,0.0659,0.0202
classifier_chain_with_lop-num_generations=10,genbase,0.9425,0.0358,-0.0029,0.0019,0.5158,0.1036
classifier_chain_with_lop-num_generations=10,medical,0.5114,0.0583,-0.017,0.0027,0.1779,0.0236
classifier_chain_with_lop-num_generations=10,tmc2007_500,0.2744,0.0468,-0.0656,0.0082,0.4287,0.066
classifier_chain_with_lop-num_generations=25,birds,0.4979,0.0679,-0.0533,0.0104,0.273,0.0566
classifier_chain_with_lop-num_generations=25,emotions,0.3219,0.0486,-0.2159,0.0223,0.6353,0.0349
classifier_chain_with_lop-num_generations=25,scene,0.5468,0.1403,-0.1418,0.0501,0.2739,0.0432
classifier_chain_with_lop-num_generations=25,yeast,0.2482,0.0249,-0.21,0.0078,0.4305,0.0172
classifier_chain_with_lop-num_generations=25,enron,0.0587,0.0441,-0.0669,0.0095,0.0637,0.0208
classifier_chain_with_lop-num_generations=25,genbase,0.9425,0.0358,-0.003,0.002,0.5142,0.1038
classifier_chain_with_lop-num_generations=25,medical,0.5154,0.0618,-0.0171,0.0026,0.1782,0.0223
