model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.5335,0.0651,-0.0394,0.0055,0.2078,0.0439
baseline_stacked_generalization,birds,0.5335,0.0651,-0.0394,0.0055,0.2078,0.0439
baseline_dependant_binary_relevance,birds,0.5304,0.0662,-0.0394,0.0059,0.2128,0.0474
baseline_classifier_chain,birds,0.5319,0.0703,-0.0397,0.006,0.2038,0.0387
stacking_with_f_tests-alpha=0.25,birds,0.5273,0.0645,-0.0399,0.0054,0.207,0.0477
stacking_with_f_tests-alpha=0.50,birds,0.5305,0.0711,-0.0396,0.0061,0.2048,0.0406
stacking_with_f_tests-alpha=0.75,birds,0.5242,0.0686,-0.0405,0.0061,0.2015,0.0412
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5335,0.0758,-0.0401,0.0059,0.2026,0.0369
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.5257,0.068,-0.0399,0.0059,0.1987,0.046
classifier_chain_with_lop-num_generations=10,birds,0.5335,0.07,-0.0403,0.0057,0.2032,0.049
classifier_chain_with_lop-num_generations=25,birds,0.5319,0.0642,-0.0402,0.0063,0.2101,0.0403
classifier_chain_with_lop-num_generations=50,birds,0.5304,0.0669,-0.04,0.0059,0.2157,0.0429
partial_classifier_chain_with_lop-num_generations=10,birds,0.5305,0.0685,-0.0396,0.0053,0.1995,0.051
partial_classifier_chain_with_lop-num_generations=25,birds,0.5273,0.0686,-0.0402,0.0056,0.1986,0.0438
partial_classifier_chain_with_lop-num_generations=50,birds,0.5257,0.0657,-0.04,0.0053,0.1975,0.0444
