model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.5335,0.0651,-0.0394,0.0055,0.2078,0.0439
baseline_binary_relevance_model,emotions,0.3068,0.0406,-0.1867,0.0195,0.6314,0.0338
baseline_binary_relevance_model,scene,0.4465,0.2199,-0.1134,0.0464,0.2728,0.0943
baseline_binary_relevance_model,yeast,0.1696,0.018,-0.1896,0.0051,0.364,0.0139
baseline_binary_relevance_model,enron,0.0675,0.0638,-0.0476,0.0081,0.093,0.0122
baseline_binary_relevance_model,genbase,0.9713,0.0208,-0.0012,0.0009,0.5511,0.1175
baseline_binary_relevance_model,medical,0.543,0.0401,-0.0128,0.0016,0.2186,0.0173
baseline_stacked_generalization,birds,0.5335,0.0651,-0.0394,0.0055,0.2078,0.0439
baseline_stacked_generalization,emotions,0.3068,0.0406,-0.1867,0.0195,0.6314,0.0338
baseline_stacked_generalization,scene,0.4473,0.22,-0.1132,0.0464,0.2728,0.0943
baseline_stacked_generalization,yeast,0.17,0.0184,-0.1897,0.0051,0.3639,0.0138
baseline_stacked_generalization,enron,0.0669,0.0641,-0.0476,0.0082,0.0919,0.012
baseline_stacked_generalization,genbase,0.9713,0.0208,-0.0012,0.0009,0.5511,0.1175
baseline_stacked_generalization,medical,0.543,0.0401,-0.0128,0.0017,0.2184,0.0175
baseline_dependant_binary_relevance,birds,0.5304,0.0662,-0.0394,0.0059,0.2128,0.0474
baseline_dependant_binary_relevance,emotions,0.3388,0.035,-0.1827,0.0166,0.6617,0.0356
baseline_dependant_binary_relevance,scene,0.4773,0.2014,-0.1138,0.0482,0.2819,0.0883
baseline_dependant_binary_relevance,yeast,0.18,0.0182,-0.197,0.0061,0.3767,0.0142
baseline_dependant_binary_relevance,enron,0.1079,0.1457,-0.0473,0.01,0.0934,0.0121
baseline_dependant_binary_relevance,genbase,0.9667,0.0294,-0.0013,0.0011,0.5469,0.1176
baseline_dependant_binary_relevance,medical,0.5737,0.0592,-0.0125,0.0022,0.2211,0.0107
baseline_classifier_chain,birds,0.5319,0.0703,-0.0397,0.006,0.2038,0.0387
baseline_classifier_chain,emotions,0.3269,0.0485,-0.1833,0.0164,0.6436,0.0346
baseline_classifier_chain,scene,0.4627,0.2044,-0.1136,0.046,0.2773,0.088
baseline_classifier_chain,yeast,0.2276,0.0206,-0.1901,0.0069,0.3875,0.0153
baseline_classifier_chain,enron,0.1009,0.1387,-0.0471,0.0095,0.0962,0.0139
baseline_classifier_chain,genbase,0.9667,0.0269,-0.0013,0.001,0.5517,0.1168
baseline_classifier_chain,medical,0.5645,0.0533,-0.0127,0.0018,0.221,0.0145
stacking_with_f_tests-alpha=0.25,birds,0.5273,0.0645,-0.0399,0.0054,0.207,0.0477
stacking_with_f_tests-alpha=0.25,emotions,0.3068,0.0406,-0.1867,0.0195,0.6314,0.0338
stacking_with_f_tests-alpha=0.25,scene,0.4453,0.2205,-0.1134,0.0464,0.2728,0.0943
stacking_with_f_tests-alpha=0.25,yeast,0.1862,0.0224,-0.1892,0.005,0.3687,0.0138
stacking_with_f_tests-alpha=0.25,enron,0.0687,0.0658,-0.0477,0.0077,0.0933,0.0128
stacking_with_f_tests-alpha=0.25,genbase,0.9713,0.0208,-0.0012,0.0009,0.5511,0.1175
stacking_with_f_tests-alpha=0.25,medical,0.5594,0.0461,-0.0125,0.0017,0.226,0.0174
stacking_with_f_tests-alpha=0.50,birds,0.5305,0.0711,-0.0396,0.0061,0.2048,0.0406
stacking_with_f_tests-alpha=0.50,emotions,0.3169,0.037,-0.1839,0.0163,0.638,0.0388
stacking_with_f_tests-alpha=0.50,scene,0.4702,0.1995,-0.1098,0.0437,0.2786,0.087
stacking_with_f_tests-alpha=0.50,yeast,0.1853,0.024,-0.1927,0.0054,0.363,0.0118
stacking_with_f_tests-alpha=0.50,enron,0.0804,0.0863,-0.0478,0.0085,0.0925,0.0157
stacking_with_f_tests-alpha=0.50,genbase,0.9713,0.0208,-0.0012,0.0009,0.5511,0.1175
stacking_with_f_tests-alpha=0.50,medical,0.5625,0.0502,-0.0126,0.0019,0.2173,0.0141
stacking_with_f_tests-alpha=0.75,birds,0.5242,0.0686,-0.0405,0.0061,0.2015,0.0412
stacking_with_f_tests-alpha=0.75,emotions,0.3355,0.0317,-0.1827,0.0114,0.6612,0.0376
stacking_with_f_tests-alpha=0.75,scene,0.4644,0.2039,-0.1122,0.0446,0.2805,0.0892
stacking_with_f_tests-alpha=0.75,yeast,0.1866,0.02,-0.1928,0.005,0.3679,0.0153
stacking_with_f_tests-alpha=0.75,enron,0.0839,0.0909,-0.0482,0.0082,0.095,0.0137
stacking_with_f_tests-alpha=0.75,genbase,0.9713,0.0208,-0.0012,0.0009,0.5511,0.1175
stacking_with_f_tests-alpha=0.75,medical,0.5676,0.051,-0.0126,0.0018,0.2208,0.0119
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5335,0.0758,-0.0401,0.0059,0.2026,0.0369
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,0.3439,0.0376,-0.1833,0.0184,0.6587,0.0305
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,0.4735,0.1911,-0.1105,0.0426,0.2783,0.0815
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,0.2197,0.0243,-0.1922,0.007,0.38,0.0197
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,0.0745,0.0639,-0.0487,0.0065,0.0946,0.0159
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,0.9697,0.0235,-0.0014,0.0013,0.5504,0.1188
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,0.5738,0.0571,-0.0125,0.002,0.2256,0.0233
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.5257,0.068,-0.0399,0.0059,0.1987,0.046
classifier_chain_with_f_test_ordering-ascending_chain=True,emotions,0.3252,0.0623,-0.1873,0.0228,0.6359,0.0498
classifier_chain_with_f_test_ordering-ascending_chain=True,scene,0.466,0.2083,-0.1139,0.0474,0.2779,0.0914
classifier_chain_with_f_test_ordering-ascending_chain=True,yeast,0.228,0.0247,-0.1958,0.0075,0.3699,0.009
classifier_chain_with_f_test_ordering-ascending_chain=True,enron,0.1108,0.1461,-0.048,0.0096,0.0963,0.0147
classifier_chain_with_f_test_ordering-ascending_chain=True,genbase,0.9728,0.0212,-0.0011,0.0009,0.5579,0.1194
classifier_chain_with_f_test_ordering-ascending_chain=True,medical,0.5655,0.0474,-0.0126,0.0017,0.2284,0.0132
classifier_chain_with_lop-num_generations=10,birds,0.5257,0.0577,-0.0405,0.005,0.1972,0.0443
classifier_chain_with_lop-num_generations=10,emotions,0.3305,0.0367,-0.1791,0.0137,0.6534,0.035
classifier_chain_with_lop-num_generations=10,scene,0.4498,0.2119,-0.1186,0.05,0.2682,0.0901
classifier_chain_with_lop-num_generations=10,yeast,0.2342,0.0187,-0.1919,0.0079,0.3774,0.0135
classifier_chain_with_lop-num_generations=10,enron,0.1108,0.1567,-0.0476,0.01,0.094,0.015
classifier_chain_with_lop-num_generations=10,genbase,0.9712,0.0266,-0.0012,0.001,0.5531,0.1194
classifier_chain_with_lop-num_generations=10,medical,0.5543,0.0636,-0.0129,0.0022,0.2092,0.0204
classifier_chain_with_lop-num_generations=25,birds,0.5212,0.0699,-0.0406,0.0065,0.2005,0.0517
classifier_chain_with_lop-num_generations=25,emotions,0.3304,0.0376,-0.1797,0.0149,0.6542,0.0335
classifier_chain_with_lop-num_generations=25,scene,0.4573,0.2114,-0.1172,0.0501,0.2709,0.0892
classifier_chain_with_lop-num_generations=25,yeast,0.2263,0.0194,-0.1932,0.0078,0.3764,0.0182
classifier_chain_with_lop-num_generations=25,enron,0.1108,0.1487,-0.048,0.0099,0.0916,0.0146
classifier_chain_with_lop-num_generations=25,genbase,0.9713,0.0229,-0.0013,0.001,0.5527,0.1194
classifier_chain_with_lop-num_generations=25,medical,0.5533,0.0549,-0.0129,0.0019,0.2146,0.0149
classifier_chain_with_lop-num_generations=50,birds,0.5381,0.0613,-0.0404,0.0055,0.2084,0.0455
classifier_chain_with_lop-num_generations=50,emotions,0.3355,0.0404,-0.1788,0.0159,0.6527,0.028
classifier_chain_with_lop-num_generations=50,scene,0.4573,0.2093,-0.1175,0.0496,0.2693,0.0869
classifier_chain_with_lop-num_generations=50,yeast,0.2429,0.0224,-0.1909,0.0087,0.3801,0.0137
classifier_chain_with_lop-num_generations=50,enron,0.1102,0.1475,-0.0482,0.0096,0.0931,0.0135
classifier_chain_with_lop-num_generations=50,genbase,0.9652,0.0303,-0.0014,0.0012,0.546,0.1152
classifier_chain_with_lop-num_generations=50,medical,0.5645,0.0454,-0.0125,0.0014,0.2224,0.0259
partial_classifier_chain_with_lop-num_generations=10,birds,0.5227,0.0699,-0.0406,0.0056,0.1958,0.0443
partial_classifier_chain_with_lop-num_generations=10,emotions,0.332,0.0449,-0.1842,0.0163,0.6404,0.0334
partial_classifier_chain_with_lop-num_generations=10,scene,0.4565,0.2098,-0.1173,0.0484,0.2727,0.0871
partial_classifier_chain_with_lop-num_generations=10,yeast,0.2321,0.0262,-0.1916,0.0069,0.377,0.0145
partial_classifier_chain_with_lop-num_generations=10,enron,0.0909,0.1022,-0.0475,0.0087,0.0931,0.0155
partial_classifier_chain_with_lop-num_generations=10,genbase,0.9697,0.0244,-0.0013,0.001,0.5487,0.1163
partial_classifier_chain_with_lop-num_generations=10,medical,0.5574,0.0484,-0.0125,0.0015,0.2209,0.0162
partial_classifier_chain_with_lop-num_generations=25,birds,0.5289,0.0697,-0.0402,0.0056,0.2016,0.0502
partial_classifier_chain_with_lop-num_generations=25,emotions,0.3388,0.046,-0.1816,0.0168,0.6463,0.0383
partial_classifier_chain_with_lop-num_generations=25,scene,0.4556,0.2135,-0.1167,0.0496,0.2733,0.0892
partial_classifier_chain_with_lop-num_generations=25,yeast,0.2284,0.0222,-0.1942,0.0093,0.3718,0.0144
partial_classifier_chain_with_lop-num_generations=25,enron,0.0915,0.1052,-0.0475,0.009,0.0932,0.0153
partial_classifier_chain_with_lop-num_generations=25,genbase,0.9712,0.0208,-0.0012,0.0009,0.5541,0.1201
partial_classifier_chain_with_lop-num_generations=25,medical,0.5543,0.0495,-0.0127,0.0015,0.2187,0.0147
partial_classifier_chain_with_lop-num_generations=50,birds,0.5273,0.0687,-0.0396,0.0056,0.2065,0.0437
partial_classifier_chain_with_lop-num_generations=50,emotions,0.3304,0.0403,-0.1839,0.0132,0.6457,0.0332
partial_classifier_chain_with_lop-num_generations=50,scene,0.4544,0.2124,-0.1166,0.0491,0.2745,0.0901
partial_classifier_chain_with_lop-num_generations=50,yeast,0.2329,0.0201,-0.1923,0.008,0.3738,0.0135
partial_classifier_chain_with_lop-num_generations=50,enron,0.0909,0.1069,-0.0478,0.009,0.0928,0.015
partial_classifier_chain_with_lop-num_generations=50,genbase,0.9713,0.0208,-0.0012,0.001,0.5474,0.1161
partial_classifier_chain_with_lop-num_generations=50,medical,0.5533,0.0508,-0.0126,0.0017,0.2197,0.0174
